image_id,file_type,file_size,resolution_width,resolution_height,collection_date,collection_state
IMG_00225,jpg,2.2246,4000,2256,02-02-2026,Delhi
IMG_00226,jpg,2.1382,4000,2256,02-02-2026,Delhi
IMG_00227,jpg,1.4142,4000,2256,02-02-2026,Delhi
IMG_00228,jpg,1.8801,4000,2256,02-02-2026,Delhi
IMG_00229,jpg,2.2337,4000,2256,02-02-2026,Delhi
IMG_00230,jpg,1.7198,4000,2256,02-02-2026,Delhi
IMG_00231,jpg,1.8582,4000,2256,02-02-2026,Delhi
IMG_00232,jpg,2.2245,4000,2256,02-02-2026,Delhi
IMG_00233,jpg,2.153,4000,2256,02-02-2026,Delhi
IMG_00234,jpg,1.8376,4000,2256,02-02-2026,Delhi
IMG_00235,jpg,1.5954,4000,2256,03-02-2026,Delhi
IMG_00236,jpg,2.9003,4000,2256,03-02-2026,Delhi
IMG_00237,jpg,3.0048,4000,2256,03-02-2026,Delhi
IMG_00238,jpg,3.0173,4000,2256,03-02-2026,Delhi
IMG_00239,jpg,2.8772,4000,2256,03-02-2026,Delhi
IMG_00240,jpg,2.9353,4000,2256,03-02-2026,Delhi
IMG_00241,jpg,2.5876,4000,2256,03-02-2026,Delhi
IMG_00242,jpg,2.3173,4000,2256,03-02-2026,Delhi
IMG_00243,jpg,2.4194,4000,2256,03-02-2026,Delhi
IMG_00244,jpg,1.885,4000,2256,03-02-2026,Delhi
IMG_00245,jpg,2.205,4000,2256,03-02-2026,Delhi
IMG_00246,jpg,2.4508,4000,2256,03-02-2026,Delhi
IMG_00247,jpg,2.3378,4000,2256,03-02-2026,Delhi
IMG_00248,jpg,2.6754,4000,2256,03-02-2026,Delhi
IMG_00249,jpg,2.3596,4000,2256,03-02-2026,Delhi
IMG_00250,jpg,2.5991,4000,2256,03-02-2026,Delhi
IMG_00251,jpg,2.5519,4000,2256,03-02-2026,Delhi
IMG_00252,jpg,2.7187,4000,2256,03-02-2026,Delhi
IMG_00253,jpg,2.6641,4000,2256,03-02-2026,Delhi
IMG_00254,jpg,2.5401,4000,2256,04-02-2026,Delhi
IMG_00255,jpg,2.3471,4000,2256,04-02-2026,Delhi
IMG_00256,jpg,2.4473,4000,2256,04-02-2026,Delhi
IMG_00257,jpg,2.3391,4000,2256,04-02-2026,Delhi
IMG_00258,jpg,2.0126,4000,2256,04-02-2026,Delhi
IMG_00259,jpg,1.7336,4000,2256,04-02-2026,Delhi
IMG_00260,jpg,2.3466,4000,2256,04-02-2026,Delhi
IMG_00261,jpg,2.4675,4000,2256,04-02-2026,Delhi
IMG_00262,jpg,2.3485,4000,2256,04-02-2026,Delhi
IMG_00263,jpg,1.9825,4000,2256,04-02-2026,Delhi
IMG_00264,jpg,2.2262,4000,2256,04-02-2026,Delhi
IMG_00265,jpg,1.3092,4000,2256,04-02-2026,Delhi
IMG_00266,jpg,1.4448,4000,2256,05-02-2026,Delhi
IMG_00267,jpg,2.4294,4000,2256,05-02-2026,Delhi
IMG_00268,jpg,2.0331,4000,2256,05-02-2026,Delhi
IMG_00269,jpg,2.4189,4000,2256,05-02-2026,Delhi
IMG_00270,jpg,2.1214,4000,2256,05-02-2026,Delhi
IMG_00271,jpg,2.4701,4000,2256,05-02-2026,Delhi
IMG_00272,jpg,1.9013,4000,2256,06-02-2026,Delhi
IMG_00273,jpg,2.1773,4000,2256,06-02-2026,Delhi
IMG_00274,jpg,1.5075,4000,2256,06-02-2026,Delhi
IMG_00275,jpg,3.0036,4000,2256,06-02-2026,Delhi
IMG_00276,jpg,1.1619,4000,2256,06-02-2026,Delhi
IMG_00277,jpg,2.5885,4000,2256,06-02-2026,Delhi
IMG_00278,jpg,2.423,4000,2256,06-02-2026,Delhi
IMG_00279,jpg,2.5496,4000,2256,06-02-2026,Delhi
IMG_00280,jpg,2.273,4000,2256,06-02-2026,Delhi
IMG_00281,jpg,2.8413,4000,2256,06-02-2026,Delhi
IMG_00282,jpg,2.3609,4000,2256,06-02-2026,Delhi
IMG_00283,jpg,1.8823,4000,2256,06-02-2026,Delhi
IMG_00284,jpg,2.0772,4000,2256,06-02-2026,Delhi
IMG_00285,jpg,2.2194,4000,2256,06-02-2026,Delhi
IMG_00286,jpg,1.387,4000,2256,06-02-2026,Delhi
IMG_00287,jpg,1.9251,4000,2256,06-02-2026,Delhi
IMG_00288,jpg,2.1101,4000,2256,06-02-2026,Delhi
IMG_00289,jpg,1.4181,4000,2256,06-02-2026,Delhi
